id,srcip,srcmac,srcport,dstip,dstmac,dstport,protocol,packets,neighbors
52347,192.168.60.254,AC:F5:E6:D9:FE:C4,-1,192.168.60.111,64:00:6A:83:F1:99,-1,1,1,-1
52348,192.168.50.218,00:80:F4:4C:CB:9E,-1,192.168.50.115,B8:27:EB:69:78:1C,-1,1,1,-1
52349,192.168.50.218,00:80:F4:4C:CB:9E,-1,192.168.50.115,B8:27:EB:69:78:1C,-1,1,1,-1
52368,192.168.60.5,00:E0:4C:DC:00:6A,-1,192.168.0.100,AC:F5:E6:D9:FE:C4,-1,1,1,-1
52369,192.168.60.5,00:E0:4C:DC:00:6A,-1,192.168.0.100,AC:F5:E6:D9:FE:C4,-1,1,1,-1
52404,192.168.60.254,AC:F5:E6:D9:FE:C4,-1,192.168.60.107,54:B2:03:8B:7F:3B,-1,1,1,-1
52405,192.168.60.254,AC:F5:E6:D9:FE:C4,-1,192.168.60.107,54:B2:03:8B:7F:3B,-1,1,1,-1
52406,192.168.50.254,AC:F5:E6:D9:FE:E8,-1,192.168.50.50,54:B8:0A:38:7A:BD,-1,1,1,-1
52407,192.168.50.254,AC:F5:E6:D9:FE:E8,-1,192.168.50.50,54:B8:0A:38:7A:BD,-1,1,1,-1
52412,192.168.50.115,B8:27:EB:69:78:1C,-1,192.168.50.218,00:80:F4:4C:CB:9E,-1,1,1,-1
52413,192.168.50.115,B8:27:EB:69:78:1C,-1,192.168.50.218,00:80:F4:4C:CB:9E,-1,1,1,-1
52414,192.168.50.218,00:80:F4:4C:CB:9E,-1,192.168.50.115,B8:27:EB:69:78:1C,-1,1,1,-1
52415,192.168.50.218,00:80:F4:4C:CB:9E,-1,192.168.50.115,B8:27:EB:69:78:1C,-1,1,1,-1
52432,192.168.60.254,AC:F5:E6:D9:FE:C4,-1,192.168.60.191,BC:30:5B:B5:40:A4,-1,1,1,-1
52433,192.168.60.254,AC:F5:E6:D9:FE:C4,-1,192.168.60.191,BC:30:5B:B5:40:A4,-1,1,1,-1
52512,192.168.60.5,00:E0:4C:DC:00:6A,-1,192.168.0.100,AC:F5:E6:D9:FE:C4,-1,1,1,-1
52513,192.168.60.5,00:E0:4C:DC:00:6A,-1,192.168.0.100,AC:F5:E6:D9:FE:C4,-1,1,1,-1
52515,192.168.50.254,AC:F5:E6:D9:FE:E8,-1,192.168.50.45,64:00:6A:6E:20:01,-1,1,1,-1
52516,192.168.50.254,AC:F5:E6:D9:FE:E8,-1,192.168.50.45,64:00:6A:6E:20:01,-1,1,1,-1
52546,192.168.50.254,AC:F5:E6:D9:FE:E8,-1,192.168.50.45,64:00:6A:6E:20:01,-1,1,1,-1
52547,192.168.50.254,AC:F5:E6:D9:FE:E8,-1,192.168.50.45,64:00:6A:6E:20:01,-1,1,1,-1
52569,192.168.50.115,B8:27:EB:69:78:1C,-1,192.168.50.218,00:80:F4:4C:CB:9E,-1,1,1,-1
52570,192.168.50.115,B8:27:EB:69:78:1C,-1,192.168.50.218,00:80:F4:4C:CB:9E,-1,1,1,-1
