id,srcip,srcmac,srcport,dstip,dstmac,dstport,protocol,packets,neighbors
51851,192.168.50.115,B8:27:EB:69:78:1C,-1,192.168.50.218,00:80:F4:4C:CB:9E,-1,1,1,-1
51852,192.168.50.218,00:80:F4:4C:CB:9E,-1,192.168.50.115,B8:27:EB:69:78:1C,-1,1,1,-1
51853,192.168.50.218,00:80:F4:4C:CB:9E,-1,192.168.50.115,B8:27:EB:69:78:1C,-1,1,1,-1
51890,192.168.60.5,00:E0:4C:DC:00:6A,-1,192.168.0.100,AC:F5:E6:D9:FE:C4,-1,1,1,-1
51891,192.168.60.5,00:E0:4C:DC:00:6A,-1,192.168.0.100,AC:F5:E6:D9:FE:C4,-1,1,1,-1
51965,192.168.50.254,AC:F5:E6:D9:FE:E8,-1,192.168.50.45,64:00:6A:6E:20:01,-1,1,1,-1
51966,192.168.50.254,AC:F5:E6:D9:FE:E8,-1,192.168.50.45,64:00:6A:6E:20:01,-1,1,1,-1
51975,192.168.50.115,B8:27:EB:69:78:1C,-1,192.168.50.218,00:80:F4:4C:CB:9E,-1,1,1,-1
51976,192.168.50.115,B8:27:EB:69:78:1C,-1,192.168.50.218,00:80:F4:4C:CB:9E,-1,1,1,-1
51977,192.168.50.218,00:80:F4:4C:CB:9E,-1,192.168.50.115,B8:27:EB:69:78:1C,-1,1,1,-1
51978,192.168.50.218,00:80:F4:4C:CB:9E,-1,192.168.50.115,B8:27:EB:69:78:1C,-1,1,1,-1
52020,192.168.60.5,00:E0:4C:DC:00:6A,-1,192.168.0.100,AC:F5:E6:D9:FE:C4,-1,1,1,-1
52021,192.168.60.5,00:E0:4C:DC:00:6A,-1,192.168.0.100,AC:F5:E6:D9:FE:C4,-1,1,1,-1
