tcp_sprt_10_0,int64
tcp_sprt_11_0,int64
tcp_sprt_12_0,int64
tcp_sprt_13_0,int64
tcp_sprt_14_0,int64
tcp_sprt_15_0,int64
tcp_dprt_0_0,int64
tcp_dprt_1_0,int64
tcp_dprt_2_0,int64
tcp_dprt_3_0,int64
tcp_dprt_4_0,int64
tcp_dprt_5_0,int64
tcp_dprt_6_0,int64
tcp_dprt_7_0,int64
tcp_dprt_8_0,int64
tcp_dprt_9_0,int64
tcp_dprt_10_0,int64
tcp_dprt_11_0,int64
tcp_dprt_12_0,int64
tcp_dprt_13_0,int64
tcp_dprt_14_0,int64
tcp_dprt_15_0,int64
tcp_seq_0_0,int64
tcp_seq_1_0,int64
tcp_seq_2_0,int64
tcp_seq_3_0,int64
tcp_seq_4_0,int64
tcp_seq_5_0,int64
tcp_seq_6_0,int64
tcp_seq_7_0,int64
tcp_seq_8_0,int64
tcp_seq_9_0,int64
tcp_seq_10_0,int64
tcp_seq_11_0,int64
tcp_seq_12_0,int64
tcp_seq_13_0,int64
tcp_seq_14_0,int64
tcp_seq_15_0,int64
tcp_seq_16_0,int64
tcp_seq_17_0,int64
tcp_seq_18_0,int64
tcp_seq_19_0,int64
tcp_seq_20_0,int64
tcp_seq_21_0,int64
tcp_seq_22_0,int64
tcp_seq_23_0,int64
tcp_seq_24_0,int64
tcp_seq_25_0,int64
tcp_seq_26_0,int64
tcp_seq_27_0,int64
tcp_seq_28_0,int64
tcp_seq_29_0,int64
tcp_seq_30_0,int64
tcp_seq_31_0,int64
tcp_ackn_0_0,int64
tcp_ackn_1_0,int64
tcp_ackn_2_0,int64
tcp_ackn_3_0,int64
tcp_ackn_4_0,int64
tcp_ackn_5_0,int64
tcp_ackn_6_0,int64
tcp_ackn_7_0,int64
tcp_ackn_8_0,int64
tcp_ackn_9_0,int64
tcp_ackn_10_0,int64
tcp_ackn_11_0,int64
tcp_ackn_12_0,int64
tcp_ackn_13_0,int64
tcp_ackn_14_0,int64
tcp_ackn_15_0,int64
tcp_ackn_16_0,int64
tcp_ackn_17_0,int64
tcp_ackn_18_0,int64
tcp_ackn_19_0,int64
tcp_ackn_20_0,int64
tcp_ackn_21_0,int64
tcp_ackn_22_0,int64
tcp_ackn_23_0,int64
tcp_ackn_24_0,int64
tcp_ackn_25_0,int64
tcp_ackn_26_0,int64
tcp_ackn_27_0,int64
tcp_ackn_28_0,int64
tcp_ackn_29_0,int64
tcp_ackn_30_0,int64
tcp_ackn_31_0,int64
tcp_doff_0_0,int64
tcp_doff_1_0,int64
tcp_doff_2_0,int64
tcp_doff_3_0,int64
tcp_res_0_0,int64
tcp_res_1_0,int64
tcp_res_2_0,int64
tcp_ns_0_0,int64
tcp_cwr_0_0,int64
tcp_ece_0_0,int64
tcp_urg_0_0,int64
tcp_ackf_0_0,int64
tcp_psh_0_0,int64
tcp_rst_0_0,int64
tcp_syn_0_0,int64
tcp_fin_0_0,int64
tcp_wsize_0_0,int64
tcp_wsize_1_0,int64
tcp_wsize_2_0,int64
tcp_wsize_3_0,int64
tcp_wsize_4_0,int64
tcp_wsize_5_0,int64
tcp_wsize_6_0,int64
tcp_wsize_7_0,int64
tcp_wsize_8_0,int64
tcp_wsize_9_0,int64
tcp_wsize_10_0,int64
tcp_wsize_11_0,int64
tcp_wsize_12_0,int64
tcp_wsize_13_0,int64
tcp_wsize_14_0,int64
tcp_wsize_15_0,int64
tcp_cksum_0_0,int64
tcp_cksum_1_0,int64
tcp_cksum_2_0,int64
tcp_cksum_3_0,int64
tcp_cksum_4_0,int64
tcp_cksum_5_0,int64
tcp_cksum_6_0,int64
tcp_cksum_7_0,int64
tcp_cksum_8_0,int64
tcp_cksum_9_0,int64
tcp_cksum_10_0,int64
tcp_cksum_11_0,int64
tcp_cksum_12_0,int64
tcp_cksum_13_0,int64
tcp_cksum_14_0,int64
tcp_cksum_15_0,int64
tcp_urp_0_0,int64
